SKU,Produk,Group,Stok Berjalan, Harga Beli ,Nilai Stok (Rp),Stok Bln-1,Stok Bln-2,Cilandak,Karang Tengah,Cinere,Jagakarsa,Pondok Pinang,Umur Stok,Rekomendasi Aging
st1130,Dotmod Dot AIO V2 Carbon x Sturdy Mfg - CF Battle Damaged,All In One System,3,"  5,850,000 "," Rp 17,550,000 ",3,3,1,1,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el609,Stubby AIO Kit 80W - Red Poison,Electrical Mods,4,"  2,150,000 "," Rp 8,600,000 ",4,4,1,1,0,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el608,Stubby AIO Kit 80W - Green Lantern,Electrical Mods,4,"  2,150,000 "," Rp 8,600,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el371,ZQ Essent DNA75C TC Box Mod 75W - Full Black DLC,PROMOTION DEVICE,5,"  1,350,000 "," Rp 6,750,000 ",5,5,1,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el613,Stubby AIO Kit 80W - Dessert Storm,Electrical Mods,3,"  2,150,000 "," Rp 6,450,000 ",3,3,1,1,1,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
acc68,Reload Ammo RBA For AIO - Stainless Steel,Parts Units,3,"  1,900,000 "," Rp 5,700,000 ",3,3,0,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el372,ZQ Essent DNA75C TC Box Mod 75W - Gunmetal,PROMOTION DEVICE,5,"  1,100,000 "," Rp 5,500,000 ",5,5,1,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
at63,"HexOhm V3.0 180W Box Mod Anodized Plain - Green,White",Semi Mechanical Mod,2,"  2,747,500 "," Rp 5,495,000 ",2,2,0,0,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
bb14,Billet Box Vapor - Miami Vice,Superior,1,"  5,450,000 "," Rp 5,450,000 ",1,1,0,0,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
bb15,Billet Box Vapor - Peacock,Superior,1,"  5,250,000 "," Rp 5,250,000 ",1,1,0,0,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
bb12,Billet Box Vapor - Galaxy SS,Superior,1,"  5,250,000 "," Rp 5,250,000 ",1,1,0,0,1,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el370,ZQ Essent DNA75C TC Box Mod 75W - Black,PROMOTION DEVICE,4,"  1,300,000 "," Rp 5,200,000 ",5,5,1,1,0,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st1085,Billet Box Rev4B DNA 60W SXK - Peek,All In One System,2,"  2,550,000 "," Rp 5,100,000 ",2,2,1,0,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
bb16,Billet Box Vapor - Pew Pew F-U,Superior,1,"  4,950,000 "," Rp 4,950,000 ",1,1,1,0,0,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st621,Dotmod Dot AIO G10 V2 Super Limited Edition - Lime Green,All In One System,1,"  4,700,000 "," Rp 4,700,000 ",1,1,0,1,0,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
ath90,HexOhm V3.0 180W Box Mod ZOOJIVE Limited Edition - Black Green,Semi Mechanical Mod,1,"  4,700,000 "," Rp 4,700,000 ",1,1,0,0,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
acc347,Mission XV KB2 Evo - White,Parts Units,2,"  2,200,000 "," Rp 4,400,000 ",2,2,0,1,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el606,Stubby AIO Kit 80W - Black Widow,Electrical Mods,2,"  2,150,000 "," Rp 4,300,000 ",2,2,0,0,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
acc205,Silo RBA JG And Orca Vape - Orange,Parts Units,4,"  950,000 "," Rp 3,800,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el615,Lost Vape Centaurus M200 Muklay Edition - Aurora Green,Electrical Mods,6,"  620,000 "," Rp 3,720,000 ",6,6,2,1,2,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
